BEGIN_TIME,END_TIME,ITEM_PRICE,SVC_UNIT,LS_SELECTED,WEEK,CYCLEDAY,MEAL,COURSE,KEY_NAME,FORMAL_NAME,PORTION_SIZE,COST,KCAL,PRO,CHO,FAT,SFA,PUFA,FATRN,CHOL,NA,K,VTAIU,VITC,B1,B2,NIA,B6,CA,FE,P,TDFB,MG,ZN,CU,VITE,PANTAC,B12,FOL,VITK1,SE,VTDIU,I,CHLRD,BIO,FLD,CHOLN,F182,MN,MO,CR,SUGR,FRUC,GAL,GLC,LCT,MALT,RAFI,SUCR,OSUGR,MANI,SORB,SORT,INCOMPLETE_FLAG,COURSE_SORT,MENUPLANGRP,NOTETEXT,TRAITS,MILK_ALLERGEN,EGGS_ALLERGEN,FISH_ALLERGEN,SHELLFISH_ALLERGEN,WHEAT_ALLERGEN,PEANUT_ALLERGEN,TREENUTS_ALLERGEN,SOYBEAN_ALLERGEN,GRAM_WEIGHT,COURSE_ALIAS,NON_SELECT_ITEM,MUSTARD_ALLERGEN,GLUTEN_ALLERGEN,MSG_ALLERGEN,SESAME_ALLERGEN,SULPHITES_ALLERGEN,HALAL_TRAIT,PORTION_QUANTITY,PORTION_UOM,UPC,LIST_OF_INGREDIENTS
07:00,11:00,0.00,"51809001 - LUTHER COLLEGE-RESIDENT DINING - RESIDENT DINING",,46,"20171113","Breakfast","92670800 - Hot Cereals","47100057","Classic Oatmeal","6 oz Ladle",0.069335,115.694,4.272,21.261,2.142,0.346,0.717,0.000,0.000,297.069,113.515,0.000,0.000,0.168,0.037,0.256,0.031,20.280,1.450,142.824,2.931,86.020,0.999,0.132,0.000,0.221,0.000,9.979,0.624,9.013,0.000,0.000,0.000,0.000,147.160,0.000,0.686,1.342,0.000,0.000,0.443,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,,1,"CEREALS-HOT, COLD","Just Right Hot Oatmeal","W","","","","","","","","",202.70233,"Hot Cereals","N","","G","",,,,1.00000,"6 oz Ladle","404000017035","Water, Quick Oats (100% Natural Whole Grain Quaker Quality Rolled Oats. ), Salt (Salt.)"
07:00,11:00,0.00,"51809001 - LUTHER COLLEGE-RESIDENT DINING - RESIDENT DINING",,46,"20171113","Breakfast","92670801 - Omelet","38212","Omelet Bar","1 Omelet",0.693264,235.040,19.436,3.323,15.597,6.030,2.081,0.087,282.462,505.918,260.083,1510.503,8.614,0.051,0.412,0.461,0.174,160.855,2.460,221.957,0.570,23.964,1.923,0.113,0.000,2.019,1.205,82.336,42.683,30.334,72.828,38.234,0.000,0.000,4.536,4.813,0.067,0.078,0.000,0.000,1.440,0.102,0.057,0.300,0.016,0.011,0.000,0.062,0.000,0.000,0.000,0,,2,"ENTREE-EGGS","Eggs with An Assortment of Fresh Vegetables, Meats and Cheeses prepared to Order","","M","E","","","","","","",167.29041,"Omelet","N","","","",,,,1.00000,"1 Omelet","403000123425","Pasteurized Liquid Eggs (Whole Eggs, Citric Acid), Pasteurized Egg Substitute (Egg Whites (98%), natural flavor, color, spice, salt, onion powder, xanthan gum, guar gum.), Mild Cheddar Cheese (Pasteurized milk, cheese culture, salt, enzymes and annatto ), Part Skim Shredded Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt And Enzymes), Buffet Ham (96% FF) (Fresh Pork Hams, Water, Dextrose, Salt, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite. ), Bacon Slices (Bacon, 22-26ct/#, Raw (Pork, Water, Salt, Sugar, Sodium Phosphate, Sodium Erythorbate, Sodium Nitrite. )), Fresh Green Onions (Green Onions.), Fresh Green Peppers (Green Peppers.), Fresh Tomatoes, Fresh Mushrooms, Fresh Spinach, Canola Oil (Canola Oil.), Vegetable Pan Spray (Canola Oil, Phosphated Mono & Diglycerides, Propellant.)"
07:00,11:00,0.00,"51809001 - LUTHER COLLEGE-RESIDENT DINING - RESIDENT DINING",,46,"20171113","Breakfast","92670802 - Breakfast Entrées","87846","Sticky Mango Oatmeal","4 oz Ladle",0.179660,107.142,2.492,16.240,3.810,2.457,0.370,0.000,0.020,7.294,75.517,101.503,3.432,0.075,0.029,0.245,0.028,12.485,0.781,66.254,1.753,23.533,0.592,0.080,0.000,0.198,0.000,9.162,0.710,4.652,0.000,0.000,0.000,0.000,58.109,7.176,0.350,0.582,0.000,0.000,4.661,1.879,0.109,1.446,0.000,0.051,0.000,0.842,0.000,0.000,0.000,0,,3,"CEREALS-HOT, COLD",,"P","","","","","","","T","",115.26907,"Breakfast Entrées","N","","G","",,,,1.00000,"4 oz Ladle","","Old Fashioned Oatmeal (Water, Old-Fashioned Oats (Steam Table) (100% Natural Oats.)), Coconut Milk (Coconut Milk, Water, Guar Gum.), Mango Chunks (Mango.), Honey (Honey.)"
07:00,11:00,0.00,"51809001 - LUTHER COLLEGE-RESIDENT DINING - RESIDENT DINING",,46,"20171113","Breakfast","92670802 - Breakfast Entrées","2968","Sausage Gravy & Biscuit","2- 2z Ladles+Biscuit",0.385353,320.911,11.043,32.710,16.098,7.371,2.834,0.377,25.965,908.075,160.018,209.151,0.309,0.206,0.347,1.551,0.045,208.676,1.420,107.737,0.789,13.598,0.572,0.018,0.000,0.417,0.579,53.395,0.238,4.876,53.573,0.000,0.000,0.000,3.734,18.586,0.092,0.068,0.000,0.000,7.863,0.030,0.022,0.049,5.478,0.011,0.013,0.036,0.000,0.000,0.000,1,,3,"ENTREE-PORK","Creamy Milk Gravy with Crumbled Pork Sausage, Served over a House Baked Buttermilk Biscuit","","M","","","","H","","","B",166.80846,"Breakfast Entrées","N","","G","",,,,1.00000,"2- 2z Ladles+Biscuit","40200054792","2% Milk, Southern Style Biscuits (Southern-Style Biscuit (Wheat Flour, Water, Soybean Oil, Hydrogenated Soybean Oil, Sugar, Buttermilk, Sodium Aluminum Phosphate, Salt, Baking Soda, Sodium Caseinate, Datem, Partially Hydrogenated Soybean And Cottonseed Oil, Nonfat Milk, Calcium Acid Pyrophosphate, Whey Protein Concentrate, Sodium Acid Pyrophosphate, Potassium Bicarbonate, Whey, Wheat Protein Isolate, Cream, Natural Flavor.)), Pork Sausage, Raw (Pork, Water, Salt, Dextrose, Flavorings, Citric Acid, BHT, Propyl Gallate.), All-Purpose Flour (Wheat Flour, Malted Barley Flour,), Salt (Salt.), Ground White Pepper (White Pepper.)"
07:00,11:00,0.00,"51809001 - LUTHER COLLEGE-RESIDENT DINING - RESIDENT DINING",,46,"20171113","Breakfast","92670802 - Breakfast Entrées","87370","Blueberry Pancakes","1 Pancake",0.107649,110.846,2.707,20.580,2.134,0.629,0.822,0.028,4.706,241.170,117.398,4.603,0.250,0.145,0.089,1.044,0.006,21.255,0.925,100.579,0.894,0.685,0.007,0.005,0.000,0.012,0.000,30.552,1.641,0.010,0.000,0.000,0.000,0.000,14.944,0.510,0.017,0.015,0.000,0.000,4.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,,3,"BREAKFAST ENTREE",,"P","M","E","","","H","","","B",56.69900,"Breakfast Entrées","N","","G","",,,,1.00000,"1 Pancake","","Complete Buttermilk Pancake Mix (Wheat Flour, Malted Barley Flour, Degermed Yellow Corn Meal, Dextrose, Whey, Sugar, Soybean Oil, Baking Soda, Sodium Aluminum Phosphate, Defatted Soy Flour, Palm Oil, Buttermilk, Salt, Egg Yolk, Sodium Silicoaluminate, Soy Lecithin, Potassium Chloride, Citric Acid, Benzoyl Peroxide, Azodicarbonamide.), Water, Blueberries (Blueberries.)"
07:00,11:00,0.00,"51809001 - LUTHER COLLEGE-RESIDENT DINING - RESIDENT DINING",,46,"20171113","Breakfast","92670802 - Breakfast Entrées","81428","BLT-Inspired Hash Browns","0.50 - 1 Plate",0.487220,200.620,6.937,14.123,13.077,6.731,0.639,0.024,21.006,265.462,307.063,947.319,5.996,0.013,0.065,0.131,0.031,116.034,0.462,78.408,1.502,9.447,0.491,0.019,0.000,0.074,0.118,14.302,25.474,2.020,3.402,0.000,0.000,0.000,5.273,4.246,0.094,0.062,0.000,0.000,0.627,0.202,0.118,0.197,0.033,0.021,0.000,0.037,0.000,0.000,0.000,3,,3,"ENTREE-MEAL","Crispy shredded hash brown potatoes mixed with bacon and fresh spinach then topped with diced tomatoes and cheddar","","M","","","","","","","B",113.39800,"Breakfast Entrées","N","","","",,,,0.50000,"1 Plate","404000008101","Shredded Hash Brown Potatoes, Frozen (Potatoes, Dextrose, Sodium Acid Pyrophosphate ), Fresh Tomatoes (Tomatoes.), Shredded Cheddar Cheese (Pasteurized milk, cheese culture, salt, enzymes and annatto, Potato Cellulose), Bacon Slices (Bacon, 22-26ct/#, Raw (Pork, Water, Salt, Sugar, Sodium Phosphate, Sodium Erythorbate, Sodium Nitrite. )), Margarine (Palm Oil, Water, Salt, Nonfat Dry Milk Solids, Soy Lecithin, Vegetable Mono and Diglycerides, Sodium Benzoate, Citric Acid, Beta Carotene ), Baby Spinach"
07:00,11:00,0.00,"51809001 - LUTHER COLLEGE-RESIDENT DINING - RESIDENT DINING",,46,"20171113","Breakfast","92670802 - Breakfast Entrées","124703732","Creamy Scrambled Egg","4 oz Ladle",0.233287,151.289,12.179,1.252,10.362,3.675,1.928,0.110,350.032,150.638,146.209,584.952,0.024,0.042,0.455,0.077,0.165,66.933,1.650,196.784,0.000,12.579,1.271,0.067,0.000,1.483,0.901,44.702,0.306,29.109,82.792,49.734,0.000,0.000,0.406,1.957,0.007,0.002,0.000,0.000,0.954,0.001,0.002,0.001,0.598,0.001,0.000,0.001,0.000,0.000,0.000,4,,3,"ENTREE-EGGS","Eggs Beaten with Milk and Cooked until Set","P","M","E","","","","","","B",107.44460,"Breakfast Entrées","N","","","",,,,1.00000,"4 oz Ladle","40300021565","Pasteurized Liquid Eggs (Whole Eggs, Citric Acid), 2% Milk, Margarine (Palm Oil, Water, Salt, Nonfat Dry Milk Solids, Soy Lecithin, Vegetable Mono and Diglycerides, Sodium Benzoate, Citric Acid, Beta Carotene )"
07:00,11:00,0.00,"51809001 - LUTHER COLLEGE-RESIDENT DINING - RESIDENT DINING",,46,"20171113","Breakfast","92670802 - Breakfast Entrées","3734","Scrambled Eggs with Cheddar","4 oz Spoodle",0.427760,244.468,19.005,1.058,17.688,8.173,2.240,0.106,416.911,293.277,168.300,801.354,0.000,0.049,0.574,0.093,0.197,225.588,2.010,327.220,0.000,19.138,2.084,0.081,0.000,1.715,1.134,53.769,0.964,35.618,92.094,55.944,0.000,0.000,8.058,3.810,0.133,0.002,0.000,0.000,0.512,0.000,0.185,0.023,0.053,0.035,0.000,0.055,0.000,0.000,0.000,5,,3,"ENTREE-EGGS",,"P","M","E","","","","","","",128.99023,"Breakfast Entrées","N","","","",,,,1.00000,"4 oz Spoodle","40300012339","Pasteurized Liquid Eggs (Whole Eggs, Citric Acid), Shredded Cheddar Cheese (Pasteurized milk, cheese culture, salt, enzymes and annatto, Potato Cellulose)"
07:00,11:00,0.00,"51809001 - LUTHER COLLEGE-RESIDENT DINING - RESIDENT DINING",,46,"20171113","Breakfast","92670802 - Breakfast Entrées","176600099","Hard Cooked Egg (Large Cage Free)","1 Egg",0.248142,71.350,6.242,0.354,4.725,1.553,0.950,0.019,184.612,148.189,68.855,268.436,0.000,0.016,0.193,0.031,0.072,27.941,0.873,98.293,0.000,5.987,0.644,0.036,0.000,0.762,0.354,17.463,0.150,15.268,40.914,0.000,0.000,0.000,0.549,116.804,0.773,0.014,0.000,0.000,0.185,0.000,0.000,0.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6,,3,"ENTREE-EGGS","Fresh boiled cage free eggs cooked until firm in center","P","","E","","","","","","",49.89512,"Breakfast Entrées","N","","","",,,,1.00000,"1 Egg","40200022045","Cage Free Large Pasterized Fresh Eggs"
07:00,11:00,0.00,"51809001 - LUTHER COLLEGE-RESIDENT DINING - RESIDENT DINING",,46,"20171113","Breakfast","92670803 - Bakery","59334","Plain Bagel","0.25 - 1 Bagel",0.101660,69.995,2.526,14.214,0.337,0.062,0.142,0.000,0.000,147.474,21.475,0.000,1.086,0.125,0.077,1.029,0.009,5.355,0.850,19.368,0.479,0.000,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,,4,"BREADS-YEAST","Classic Plain Bagel","P","","","","","H","","","B",28.34950,"Bakery","N","","G","",,,,0.25000,"1 Bagel","404000016854","Sliced Plain Bagel (Wheat Flour, Malt Barley Flour, Water, Brown Sugar, Corn Meal, Sugar, Salt, Yeast, Mono-Diglycerides, Calcium Propionate, Guar Gum, Molasses, Enzyme, Corn Syrup Solids, Ammonium Chloride, Soy Oil, Azodicardonamide.)"
